"7d. U.S. Regional Electricity Generation, Electric Power Sector",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eia.gov/outlooks/steo/data/browser/#/?v=22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Oct 06 2023 21:29:10 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
remove,,map,linechart,units,source key,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Total net generation,Total Electric Power Sector Net Generation: U.S. Total,1,1,billion kilowatthours,TOEPGEN_US,2901.32,2935.56,2934.37,3043.9,3088.73,3194.23,3284.14,3329.38,3457.42,3529.98,3637.53,3580.05,3698.46,3721.16,3808.36,3902.19,3908.08,4005.34,3974.35,3809.84,3972.39,3948.19,3890.36,3903.72,3936.96,3920.41,3918.98,3878.63,4020.88,3968.35,3853.66,3957.62,4090.28,4025.79,4088.93
New England (ISO-NE),New England (ISO-NE),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural gas,Electric power sector generation by natural gas: New England (ISO-NE),1,1,billion kilowatthours,NGEPGEN_NE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,55.11,60.12,59.1,48.57,45.33,51.94,51.6,48.8,49.02,46.65,49.1,53.43,53.43,52.95,51.02
Coal,Electric power sector generation by coal: New England (ISO-NE),1,1,billion kilowatthours,CLEPGEN_NE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14.02,6.8,4.06,6.11,4.96,3.84,2.53,1.68,1.05,0.46,0.16,0.58,0.35,0.54,0.9
Nuclear,Electric power sector generation by nuclear: New England (ISO-NE),1,1,billion kilowatthours,NUEPGEN_NE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,38.36,34.28,36.12,37.18,36.84,31.89,32.75,31.54,31.38,29.82,25.58,27.07,27.39,23.73,27.07
Conventional hydropower,Electric power sector generation by conventional hydropower: New England (ISO-NE),1,1,billion kilowatthours,HVEPGEN_NE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7.29,7.95,6.92,7.23,7.12,6.5,5.84,7.09,7.47,7.6,6.61,6.18,5.47,5.44,7.08
Nonhydro renewables ,Electric power sector generation by non-hydropower renewables,1,1,billion kilowatthours,RNEPGEN_NE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6.34,5.93,6.32,7.17,8.11,8.82,9.34,10.13,10.12,9.77,10.15,10.72,12.36,12.14,13.58
Other energy sources ,Electric power sector generation by other energy sources: New England (ISO-NE),1,1,billion kilowatthours,XXEPGEN_NE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2.32,1.95,1.96,2.45,3.28,3.07,1.8,1.85,2.26,1.41,1.43,1.44,2.82,1.5,1.85
Total generation,Total electric power sector net generation: New England (ISO-NE),1,1,billion kilowatthours,TOEPGEN_NE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,123.45,117.03,114.49,108.72,105.65,106.06,103.86,101.09,101.29,95.71,93.02,99.42,101.82,96.31,101.5
Net energy for load ,Net energy for load: New England (ISO-NE),1,1,billion kilowatthours,ELLOAD_NE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,130.77,129.16,128.08,129.38,127.18,126.93,124.43,121.22,123.45,119.16,116.86,118.71,118.88,115.46,120.8
New York (NYISO),New York (NYISO),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural gas,Electric power sector generation by natural gas: New York (NYISO),1,1,billion kilowatthours,NGEPGEN_NY,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,52.71,54.49,63.12,58.39,59.27,61.41,61.65,51.74,55.55,52.36,57.13,61.37,64.95,61.91,61.39
Coal,Electric power sector generation by coal: New York (NYISO),1,1,billion kilowatthours,CLEPGEN_NY,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13.21,9.06,4.24,4.39,4.28,2.08,1.44,0.56,0.68,0.42,0.14,0,0,0,0
Nuclear,Electric power sector generation by nuclear: New York (NYISO),1,1,billion kilowatthours,NUEPGEN_NY,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,41.87,42.7,40.77,44.76,43.04,44.6,41.57,42.17,42.92,44.87,38.43,31.18,26.81,27.9,27.35
Conventional hydropower,Electric power sector generation by conventional hydropower: New York (NYISO),1,1,billion kilowatthours,HVEPGEN_NY,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25.4,27.91,24.58,24.9,26.01,25.95,26.82,30.06,29.56,30.55,29.48,28.69,27.41,26.75,27.34
