Date,Open,High,Low,Close,Adj Close,Volume
12/8/2023,388.670013,392.619995,388.480011,392.170013,392.170013,46623600
12/7/2023,388.070007,391.269989,386.959991,390.429993,390.429993,49593500
12/6/2023,390.269989,390.369995,384.700012,385.049988,385.049988,41994100
12/5/2023,384.390015,388.5,384.209991,387.290009,387.290009,42933000
12/4/2023,386.089996,386.600006,382.660004,386.320007,386.320007,51186900
12/1/2023,387.75,390.540009,386.070007,389.940002,389.940002,40440500
11/30/2023,390.079987,390.549988,385.820007,388.829987,388.829987,52834400
11/29/2023,392.690002,394.140015,389.459991,389.809998,389.809998,38811700
11/28/2023,388.410004,390.779999,388.049988,390.190002,390.190002,35491100
11/27/2023,389.01001,391.149994,388.279999,389.170013,389.170013,34139700
11/24/2023,389.649994,390.25,388.5,389.51001,389.51001,15718800
11/22/2023,390.570007,393.070007,389.040009,390.059998,390.059998,44121000
11/21/2023,389.01001,389.230011,386.700012,388.470001,388.470001,43337000
11/20/2023,386.049988,391.410004,386.049988,390.73999,390.73999,44429600
11/17/2023,385.209991,387.070007,384.290009,386.040009,386.040009,46571900
11/16/2023,384.839996,386.190002,383.559998,385.950012,385.950012,45343500
11/15/2023,387.25,387.75,384.23999,385.619995,385.619995,54141400
11/14/2023,383.709991,386.26001,383.179993,385.329987,385.329987,67792600
11/13/2023,376.790009,378.279999,375.23999,377.209991,377.209991,40733500
11/10/2023,371.820007,378.540009,371.279999,378.390015,378.390015,58309800
11/9/2023,373.640015,374.799988,369.570007,370.070007,370.070007,53859400
11/8/2023,373.079987,373.790009,370.619995,372.940002,372.940002,35663400
11/7/2023,370.269989,373.579987,369.049988,372.700012,372.700012,50777400
11/6/2023,368.48999,369.779999,366.910004,369.209991,369.209991,38848700
11/3/2023,364.75,369.019989,364.519989,367.709991,367.709991,53239100
11/2/2023,361.540009,363.679993,360.299988,363.440002,363.440002,58162400
11/1/2023,351.720001,357.529999,351.619995,356.959991,356.959991,58992700
10/31/2023,349.230011,351.25,346.619995,350.869995,350.869995,47671900
10/30/2023,347.829987,350.540009,346.450012,349.200012,349.200012,55298500
10/27/2023,346.429993,348.839996,344.079987,345.309998,345.309998,63476700
10/26/2023,349.119995,350.070007,342.350006,343.660004,343.660004,78621400
10/25/2023,356.700012,356.880005,349.75,350.339996,350.339996,71190500
10/24/2023,357.51001,359.910004,355.790009,359.130005,359.130005,47082100
10/23/2023,353.26001,359.26001,351.119995,355.670013,355.670013,60665200
10/20/2023,359.459991,360.040009,354.369995,354.600006,354.600006,72369800
10/19/2023,364.809998,366.019989,359.160004,359.970001,359.970001,72274200
10/18/2023,365.670013,367.910004,362.019989,363.369995,363.369995,54280500
10/17/2023,365.809998,369.920013,363.660004,368.200012,368.200012,50999100
10/16/2023,366.619995,370.480011,366.470001,369.410004,369.410004,44201100
10/13/2023,370.570007,371.160004,363.859985,365.279999,365.279999,52469900
10/12/2023,371.730011,373.73999,367.5,369.929993,369.929993,49587900
10/11/2023,369.940002,371.410004,368.190002,371.220001,371.220001,38215100
10/10/2023,366.899994,371.279999,366.390015,368.589996,368.589996,46968800
10/9/2023,362.299988,367.109985,360.779999,366.559998,366.559998,45304800
10/6/2023,355.649994,365.910004,354.850006,364.700012,364.700012,74959200
10/5/2023,359.73999,360.149994,355.140015,358.690002,358.690002,45897400
10/4/2023,355.769989,360.609985,355.299988,359.75,359.75,54786700
